Column1	gender	faculty	Enter Your Location	kind of books preffered for study	How Frequently do you visit library	For what Purposes do yo visit library	Average Time spent in collage	What is general Purposes	Which one is your Prefered location	What is your preferred time?	Preferred language for Learning	Preferred type for reading	Do you enjoy the Reading	Which mode of learning /	Dose Covid Pandemic Ch	How do you study before collage	How do you study after Collage	Do you aware about Nati	Do you Using National di	Dose Covid 19 Pandemic Affected Your Reading Habits	Do you purchase Books from store	Average Expenditure on books	Occupation Of Father	Parents Education	Select your Faculty	Enter your Location	Preferred Language for Learning	Do you Using National dig	Occupation of Father	number of books purchased	Time to read a book
25	Female	Commerce	Urban	Class Notes	Once in a week	For Reading Novels and	g Less than an hour	For career development	Home	Late Night	English	Competitive books	Very much	soft copy of Reading mat	No	a	a	No	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Urban	English	No	Farmer	89	21
26	Female	Science	Rural	Class Notes	Once in a week	For Reading Novels and	s 2-4 hours	For career development	College lab	Morning	English	New paper	Enjoyable	soft copy of Reading mat	Yes	Reading soft copy of boo k	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	90	18
187	Female	Science	Rural	Reference Books	Once in a week	To borrow library material	s Less than an hour	To get the knowledge and	College Lab	Morning	English	New Paper	Just okay	Hard copy of Reading Ma	Yes	Watching Lecture Videos	Reading soft copy of boo k	Yes	No	No - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	91	29
74	Female	Science	Urban	Class Notes	Once in a month	For Reading Novels and	g Less than an hour	To get the knowledge and	Home	Evening	Marathi	Text books	Very much	Hard copy of Reading ma	No	a	Reading soft copy of boo k	No	No	No - Not Affected	No	Less Than Rs. 500	Job	Educated	Science	Urban	Marathi	No	Job	92	3
1	Female	Commerce	Urban	Lecture Videos	Once in a month	For Reading Novels and	s Less than an hour	To pass the examination	Class Room	Morning	Marathi	Magazines	Enjoyable	Hard copy of Reading ma	Yes	Watching Lecture Videos	Watching Lecture Videos	Yes	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	Marathi	No	Job	94	19
22	Male	Science	Rural	Reference Books	Rarely	For Reading Novels and	g Less than an hour	To be well informed	Home	Morning	Marathi	Stories and novels	Enjoyable	Hard copy of Reading ma	Yes	a	Reading soft copy of boo k	No	No	Yes- Negatively Affected	No	Less Than Rs. 500	Job	Educated	Science	Rural	Marathi	No	Job	95	3
90	Female	Science	Urban	Lecture Videos	Rarely	For Reading Novels and	g Less than an hour	To be well informed	Home	Morning	English	Journal articles	Just okay	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	Yes	No	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Business	Educated	Science	Urban	English	No	Business	96	23
23	Female	Arts	Urban	Reference Books	Daily	For Reading Novels and	g 2-4 hours	To get the knowledge and	Home	Late Night	Marathi	Stories and novels	Very much	Hard copy of Reading ma	Yes	a	a	Yes	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	Marathi	No	Job	97	20
127	Male	Science	Rural	Other	Once in a month	To Read Daily News Pap	e Less than an hour	To be well informed	Park or Garden	Evening	English	Stories and novels	Enjoyable	Hard copy of Reading Ma	Yes	Reading books in library	Reading soft copy of boo k	No	No	Yes - Negatively Affected	No	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	98	5
4	Male	Science	Rural	Lecture Videos	2-3 times in a week	To Complete Assignment	Less than an hour	To get the knowledge and	Home	Morning	English	Reference books	Enjoyable	Academic Videos	Yes	Watching Lecture Videos	Watching Lecture Videos	No	Yes	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	99	2
